	
	
🔨点播测试,#genre#

多屏监控,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001579/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
多屏监控,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001589/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
多屏监控,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226337/index.m3u8?

高清中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001

印度高清MV,https://wxhls.mcloud.139.com/hls/M51714bae783d4505cee8793f28353d067/playlist.m3u8?ci=1811UaL6m35715620230916223641pzt&fileSize=78223040

浩史成双,https://vd2.bdstatic.com/mda-patcnnhqrzjuwuuz/sc/cae_h264/1674896551231456632/mda-patcnnhqrzjuwuuz.mp4?v_from_s=bdapp-landingpage-api-nanjing

阿凡达2水之道,https://data.cache.m3u8.lscsfw.com:3395/cache/20230325/9163_1082ea17/index.m3u8

三傻大闹宝莱坞推荐,https://vt1.doubanio.com/202211032011/ad46a3c39a37cdcbed98f4d180fa3b93/view/movie/M/301020952-1.mp4
	
三傻大闹宝莱坞MV,https://vt1.doubanio.com/202211032016/9703e5dbde297f48a077aa60855b71d7/view/movie/M/301030812.mp4
	
神秘巨星预告,https://vt1.doubanio.com/202211032018/fb09b6192ebd171cbfd058e7b5b76949/view/movie/M/302260412.mp4
	
神秘巨星插曲1,https://vt1.doubanio.com/202211032019/a3e01faa53524bd8d0ac9f8f2fc512f0/view/movie/M/302220605.mp4
	
神秘巨星插曲2,https://vt1.doubanio.com/202211032020/9f290cadfa010c78afb759288c729cde/view/movie/M/302220603.mp4
	
神秘巨星插曲3,https://vt1.doubanio.com/202211032021/c75da69b77b9422a64a48e2441e393d0/view/movie/M/302220599.mp4
	
神秘巨星片尾彩蛋,https://vt1.doubanio.com/202211032022/4d31d42d3debf8d800d2096193d6fde8/view/movie/M/302220600.mp4
	
	
💿短视频集,#genre#

openAI开发者大会chatGPT开启超级平台,https://hhhthls.mcloud.139.com/hls/NKb6f5bf58c75354e4bb2ab0b408f8ee7d/playlist.m3u8?ci=1811UaL6m357155202311080900493ck&fileSize=18375249
小A学财经高效能习惯END,https://wxhls.mcloud.139.com/hls/M7eca857a2652369f5a061ca013d867cdb/playlist.m3u8?ci=1811UaL6m357177202310070828453vt&fileSize=38251475
小A学财经高效能习惯6,https://wxhls.mcloud.139.com/hls/MA0016b250d5773aa7141a0e0501d661f3/playlist.m3u8?ci=1811UaL6m35715620231007073707osy&fileSize=18940832
圣道逸夫讲述英国殖民,https://wxhls.mcloud.139.com/hls/M482156c894d51980039f0e0c65ebd68b2/playlist.m3u8?ci=1811UaL6m35717720230923230054z14&fileSize=10445992
四箭齐发如何提振股市,https://wxhls.mcloud.139.com/hls/MB1874499629fccde402db7a2caa42bda0/playlist.m3u8?ci=1811UaL6m35715520230901074859dd2&fileSize=22994652
日本排放核污水之老姚说,https://wxhls.mcloud.139.com/hls/MAdd1bd41cf7f694a514b344ad8eaa215c/playlist.m3u8?ci=1811UaL6m35717820230826074117quo&fileSize=27779554
李嘉诚的信号,https://wxhls.mcloud.139.com/hls/M17723ff166ce5118b7541b9738b831b57/playlist.m3u8?ci=1811UaL6m35715820230821130945a6w&fileSize=6994884
蝇营狗苟好生意,https://wxhls.mcloud.139.com/hls/M1413634937f9ad9be30584f2acbe88e53/playlist.m3u8?ci=1811UaL6m357158202308211242591oz&fileSize=46203716
顶豪家族继承者们的儿子 下,https://dghls.mcloud.139.com/hls/L0e72b939f78e659b617af98d08780b498/playlist.m3u8?ci=1811UaL6m35717820230729133922jvm&fileSize=61300923
AplleGPT来了,https://dghls.mcloud.139.com/hls/LH8fa2acd57c5e8f55816f746307278583/playlist.m3u8?ci=1811UaL6m357154202307221219157ds&fileSize=14613505
不努力就只能继承家产万亿，顶豪的儿子 上,https://dghls.mcloud.139.com/hls/LMbe91e15f3f1dece95f2398294a4fe5a1/playlist.m3u8?ci=1811UaL6m35715420230712222906pgc&fileSize=62947596
MSG Sphere 世界最大球体建筑,https://dghls.mcloud.139.com/hls/LD7b62dcdf13b7992be384b55fd25970e4/playlist.m3u8?ci=1811UaL6m35715820230709133953vb1&fileSize=9226854
中国未来城市模式思考,https://dghls.mcloud.139.com/hls/L517fadafa3268215541c97e59b3c73d55/playlist.m3u8?ci=1811UaL6m35715420230603082316k32&fileSize=28642746
大国经济之极限思维,https://wxhls.mcloud.139.com/hls/M264e8894edf0b9e99812c06d23826c780/playlist.m3u8?ci=1811UaL6m35715820230601211839x70&fileSize=17512128
微软重磅推出Windows Copilot,https://dghls.mcloud.139.com/hls/LR270ed78fce491b94bcf98fd12e9a5d21/playlist.m3u8?ci=1811UaL6m357155202306011003532a1&fileSize=5122686
AI将取代所有白领工作?,https://dghls.mcloud.139.com/hls/L888bf6168c91b915c9b9c2f96f7da9c9b/playlist.m3u8?ci=1811UaL6m35715520230523070855be6&fileSize=7121412
openAI的苹果app来了,https://dghls.mcloud.139.com/hls/L4d1898fc0ac6620b26dee931d4e5d473e/playlist.m3u8?ci=1811UaL6m35715820230520043055t7j&fileSize=31999853
谷歌6个新AI黑科技,https://dghls.mcloud.139.com/hls/L7e06ec0a304fc9577f12b7d7c4bd865fc/playlist.m3u8?ci=1811UaL6m35717820230517192047jel&fileSize=8912034
GPT4联网插件,https://dghls.mcloud.139.com/hls/LDfd1591ba9624db948ae16d200e7ded09/playlist.m3u8?ci=1811UaL6m35717820230517180442p57&fileSize=17078603
GPT4开放联网插件了,https://dghls.mcloud.139.com/hls/L4c7ddd507bd66e5de68b548bbf8735ee0/playlist.m3u8?ci=1811UaL6m35715720230517064754dhp&fileSize=15439826
GOOGLO AI 新版20230512,https://dghls.mcloud.139.com/hls/L5ed62f6857513e2f2a6919569682ffaf3/playlist.m3u8?ci=1811UaL6m35717820230512061614qcr&fileSize=6328650
GOOGLO新nerf地图,https://dghls.mcloud.139.com/hls/L549b6cac86e83d3578b08fe4128b8f473/playlist.m3u8?ci=1811UaL6m35715520230512061734wbp&fileSize=24192294
查理芒格的原则05-小A财经,https://dghls.mcloud.139.com/hls/L4e68b5f03a81bbad71f11868870bbf4e1/playlist.m3u8?ci=1811UaL6m35715820230506083852o0y&fileSize=71314749
anything 视频跟踪技术,https://dghls.mcloud.139.com/hls/LL681ec15760e31a9ebf32c6258c722086/playlist.m3u8?ci=1811UaL6m3571582023042609350819c&fileSize=13741425
ChatGPT系统讲解,https://dghls.mcloud.139.com/hls/LN4ef38772cbc1bf320dd42765fe6b72a9/playlist.m3u8?ci=1811UaL6m35715520230413222333kew&fileSize=67580514
AgentGPT,https://dghls.mcloud.139.com/hls/LMabe0d043ced951ac1ba83f8f2ffda71a/playlist.m3u8?ci=1811UaL6m35715820230413221515r5p&fileSize=4137657
